id,production_title,production_product_id,staging_product_id,staging_variant_id,staging_sku
48,Snug Life - 3 Items,2163296698426,1607818903603,15983635464243,764204268214
1,Blush Crush - 3 Items,2154559995962,1607818182707,15609309593651,764204268221
70,Street Smarts 2 - 3 Items,2188530778170,1663703384115,15983723282483,764204316106
8,Fusion Capri (blk/desert flower),219145404434,782063665244,8687739175004,722457894772
3,Street Smarts - 3 Items  Auto renew,2156332908602,1607881850931,15609634193459,764204268207
59,Monthly Box,8204555081,614565543968,6348597592096,722457737550
21,Infusion Tee (white),219146649618,782063894620,8687699296348,722457857913
23,Lexi Singlet (camellia rose),217173295122,782064156764,8687694053468,764204107858
2,Vinyasa Vibes - 3 Items,1828555587642,1401707069491,13465521979443,764204222841
4,Wrap Me Up - 3 Items,2076469657658,1494851289139,15880487108659,764204268146
45,Never Basic - 3 Items,2185227010106,1612238389299,15983629467699,764204316083
5,Street Dreams - 3 Items,1918042636346,1452468731955,15609316474931,764204222889
6,Peace & Pastels - 3 Items  Auto renew,2237902815290,1660718579763,15972294262835,764204268276
7,Peace & Pastels - 5 Items,2226411667514,1644904382515,15920716415027,764204268245
9,Fierce & Floral - 3 Items  Auto renew,2236718448698,1650531074099,15938335932467,764204331192
33,Can You Say Ombre and Seamless Leggings,9144207634,614499188768,6348396167200,722457670505
11,True Blue - 3 Items,2226409963578,1663704662067,15983728099379,764204268269
12,Blush Crush - 5 Items  Auto renew,2188520521786,1607900201011,15609749176371,764204268191
13,Knot Your Average - 3 Items,2227252559930,1644903628851,15920714580019,764204268283
14,True Blue - 5 Items,2226391941178,1663705514035,15983729115187,764204268238
15,Wixson Jogger (heather grey),1462046588986,1337219252316,12266363551836,722457988808
16,Wrap Me Up - 5 Items,2076477653050,1494851452979,13466469138483,764204268115
17,Seamless Capri Legging (black),1393316102202,1337218826332,12266361782364,764204109630
19,Never Basic - 5 Items,2185229860922,1612240027699,15634752667699,764204316076
20,Printed High Waist Legging (peacoat tropical),1352823504954,1337218236508,12266360012892,722457893591
37,My Favorite Ombre Bra,9144213010,614541426720,6348527206432,722457670215
22,Renew Tank (hibiscus),1352634138682,1337218367580,12266360668252,722457863112
46,Street Dreams - 5 Items  Auto renew,1924801101882,1452513165363,12992247824435,764204222971
24,Vinyasa Vibes - 5 Items,1828550213690,1401707135027,12674929426483,764204222933
25,Lounge Life - 5 Items,1918045159482,1452468076595,12992001507379,764204222988
26,Gigi High Waist Legging (concord grape),1352732508218,1337217319004,12266355228764,722457833009
27,Fierce & Floral - 5 Items,2227259342906,1644903432243,15920714088499,76420433185
28,Effie Tank (black),197873139730,1494835855411,13466347143219,722457849833
29,Daphne Legging (black),197864751122,614505021472,8687702605916,722457915729
30,Tack Back Tank,9164372050,614569115680,6348609257504,722457699926
31,Snug Life - 5 Items,2154515857466,1607819034675,15609312051251,764204268184
55,3 Months - 3 Items,2209786298426,1635509436467,15880479965235,764204317066
34,Knot Your Average - 3 Items  Auto renew,2237892132922,1660832874547,15972962074675,764204268283
35,Fierce & Floral - 5 Items  Auto renew,2237890625594,1650530222131,15938331344947,76420433185
36,Street Smarts - 5 items  Auto renew,2188207980602,1664119898163,15985212194867,764204268177
56,Geraldine Sports Bra (coral reef),219147599890,782063763548,8687741632604,722457865031
38,Street Smarts - 5 items,2144938426426,1607819886643,15609316868147,764204268177
40,Knot Your Average - 5 Items,2227246661690,1644903890995,15920715137075,764204268252
43,Fierce & Floral - 3 Items,2227262881850,1644903235635,15920713564211,764204331192
60,High Impact Sports Bra (jungle blue),197870256146,614521208864,8687716499548,722457946242
49,Celeste Ankle Legging (atlantic deep),1366016655418,1337216303196,12266352345180,722457987061
50,Carrie Criss Cross Tummy Control,169179545618,614499745824,6348400197664,722457781300
52,Jordan Agility Legging,10111062226,614524387360,6348482084896,722457808168
63,"Oh Hey, I See You Tee",9144202514,614542114848,6348528517152,722457658541
66,Street Dreams - 3 Items  Auto renew,1924806180922,1452512935987,12992246939699,764204222889
67,Geo Colorblock Capri,9318246802,614514294816,6348448399392,722457696048
57,Moana Bra (black),1366219587642,1337218007132,12266358964316,764204127665
42,Street Smarts 2 - 5 items  Auto renew,2188543328314,1664118816819,15985206853683,764204316090
61,Palm Tank (black),1352658780218,1337218105436,12266359554140,722457957835
47,Street Smarts 2 - 3 Items  Auto renew,2196272807994,1663791464499,15984019439667,764204316106
64,VIP 3 Monthly Box,9175678162,614573408288,6348619710496,722457572908
69,Moana Bra (cerise),1366222962746,1337218039900,12266359160924,764204127719
71,Crossover Tank (aubergine glow),1352623161402,1337216860252,12266353262684,722457861361
72,Street Dreams - 5 Items,1918039687226,1452468797491,12992004227123,764204222971
74,Knot Your Average - 5 Items  Auto renew,2237892952122,1660840247347,15973013848115,764204268252
76,Celeste Ankle (baked apple),1352773435450,1337215942748,12266352017500,722457890439
18,Power Surge - 3 Items,1719715201082,1372047638620,12361542369372,764204222810
41,Celeste Ankle (peacoat),1352775630906,1337216139356,12266352181340,722457890439
44,Push Capri (wild plum/baked apple),1352679063610,1337218269276,12266360176732,722457891870
51,True Blue - 5 Items  Auto renew,2237898391610,1663763480627,15983919726643,764204268238
54,Peace & Pastels - 3 Items,2226413174842,1644904251443,15920716218419,764204268276
58,Street Smarts - 3 Items,2154512613434,1607819821107,15609316769843,764204268207
62,3 MONTHS,23729012754,1494813966387,13466166034483,722457572908
65,Shannon Crop Hoodie (heather grey),1461936554042,1337218957404,12266362175580,722457988327
73,3 Months - 5 Items,2209789771834,1635509469235,15880480063539,764204317073
39,Street Smarts 2 - 5 items,2188532875322,1663703973939,15983725314099,764204316090
10,Drop Top Tee,9318221202,614506954784,6348426510368,722457647866
53,Elliot Tank (black),207606677522,747055841372,8146248794204,722457927524
32,350ml Rose Gold Bottle  Auto renew,10301497298,1494814490675,13466169835571,722457740444
68,Solid High Waist Capri (dutch blue),219144519698,781110476892,8687696805980,722457929979
75,Score Sleeveless Hoodie (black),197854560274,614555385888,6348562333728,722457761319
