production_title,production_product_id,staging_product_id,staging_variant_id,staging_sku
Blush Crush - 3 Items,21545599395962,,,
Vinyasa Vibes - 3 Items,,,,
Street Smarts - 3 Items  Auto renew,,,,
Wrap Me Up - 3 Items,,,,
Street Dreams - 3 Items,,,,
Peace & Pastels - 3 Items  Auto renew,,,,
Peace & Pastels - 5 Items,,,,
Fusion Capri (blk/desert flower),,,,
Fierce & Floral - 3 Items  Auto renew,,,,
Drop Top Tee,,,,
True Blue - 3 Items,,,,
Blush Crush - 5 Items  Auto renew,,,,
Knot Your Average - 3 Items,,,,
True Blue - 5 Items,,,,
Wixson Jogger (heather grey),,,,
Wrap Me Up - 5 Items,,,,
Seamless Capri Legging (black),,,,
Power Surge - 3 Items,,,,
Never Basic - 5 Items,,,,
Printed High Waist Legging (peacoat tropical),,,,
Infusion Tee (white),,,,
Renew Tank (hibiscus),,,,
Lexi Singlet (camellia rose),,,,
Vinyasa Vibes - 5 Items,,,,
Lounge Life - 5 Items,,,,
Gigi High Waist Legging (concord grape),,,,
Fierce & Floral - 5 Items,,,,
Effie Tank (black),,,,
Daphne Legging (black),,,,
Tack Back Tank,,,,
Snug Life - 5 Items,,,,
350ml Rose Gold Bottle  Auto renew,,,,
Can You Say Ombre and Seamless Leggings,,,,
Knot Your Average - 3 Items  Auto renew,,,,
Fierce & Floral - 5 Items  Auto renew,,,,
Street Smarts - 5 items  Auto renew,,,,
My Favorite Ombre Bra,,,,
Street Smarts - 5 items,,,,
Street Smarts 2 - 5 items,,,,
Knot Your Average - 5 Items,,,,
Celeste Ankle (peacoat),,,,
Street Smarts 2 - 5 items  Auto renew,,,,
Fierce & Floral - 3 Items,,,,
Push Capri (wild plum/baked apple),,,,
Never Basic - 3 Items,,,,
Street Dreams - 5 Items  Auto renew,,,,
Street Smarts 2 - 3 Items  Auto renew,,,,
Snug Life - 3 Items,,,,
Celeste Ankle Legging (atlantic deep),,,,
Carrie Criss Cross Tummy Control,,,,
True Blue - 5 Items  Auto renew,,,,
Jordan Agility Legging,,,,
Elliot Tank (black),,,,
Peace & Pastels - 3 Items,,,,
3 Months - 3 Items,,,,
Geraldine Sports Bra (coral reef),,,,
Moana Bra (black),,,,
Street Smarts - 3 Items,,,,
Monthly Box,,,,
High Impact Sports Bra (jungle blue),,,,
Palm Tank (black),,,,
3 MONTHS,,,,
"Oh Hey, I See You Tee",,,,
VIP 3 Monthly Box,,,,
Shannon Crop Hoodie (heather grey),,,,
Street Dreams - 3 Items  Auto renew,,,,
Geo Colorblock Capri,,,,
Solid High Waist Capri (dutch blue),,,,
Moana Bra (cerise),,,,
Street Smarts 2 - 3 Items,,,,
Crossover Tank (aubergine glow),,,,
Street Dreams - 5 Items,,,,
3 Months - 5 Items,,,,
Knot Your Average - 5 Items  Auto renew,,,,
Score Sleeveless Hoodie (black),,,,
Celeste Ankle (baked apple),,,,